epoch,step,train_loss
0,49,686466.4375
1,99,352920.03125
2,149,341130.75
3,199,468476.8125
4,249,306771.625
5,299,447783.125
6,349,390450.21875
7,399,407222.875
8,449,286306.25
9,499,211668.0625
10,549,189723.6875
11,599,337083.5625
12,649,191688.421875
13,699,193473.03125
14,749,150937.84375
15,799,129957.765625
16,849,83924.1328125
17,899,119001.1171875
18,949,124288.703125
19,999,159203.1875
20,1049,94312.0859375
21,1099,170125.71875
22,1149,175588.0
23,1199,85961.3046875
24,1249,124429.21875
25,1299,136412.53125
26,1349,135022.96875
27,1399,179987.125
28,1449,105643.8984375
29,1499,114318.6171875
30,1549,180476.78125
31,1599,75229.1875
32,1649,77870.0
33,1699,116736.96875
34,1749,62182.0
35,1799,75194.078125
36,1849,87436.3984375
37,1899,135053.0625
38,1949,79716.25
39,1999,90819.890625
40,2049,43588.06640625
41,2099,85700.84375
42,2149,55852.59375
43,2199,87290.75
44,2249,98474.5
45,2299,116211.5859375
46,2349,94016.5625
47,2399,70511.1484375
48,2449,46257.13671875
49,2499,73366.09375
50,2549,79206.5390625
51,2599,90266.5078125
52,2649,72384.109375
53,2699,68219.90625
54,2749,77086.421875
55,2799,91376.5703125
56,2849,94138.03125
57,2899,122781.6015625
58,2949,61171.3125
59,2999,73108.9375
60,3049,82532.8984375
61,3099,70295.6875
62,3149,78967.15625
63,3199,109870.6875
64,3249,56975.0625
65,3299,95697.65625
66,3349,146436.015625
67,3399,78529.9765625
68,3449,61524.87109375
69,3499,59209.15625
70,3549,50149.765625
71,3599,141096.953125
72,3649,65167.32421875
73,3699,94150.671875
74,3749,76585.0234375
75,3799,67699.734375
76,3849,57610.9921875
77,3899,50647.0859375
78,3949,81721.3671875
79,3999,127748.390625
80,4049,92925.53125
81,4099,89653.609375
82,4149,86439.7890625
83,4199,63137.12109375
84,4249,98151.984375
85,4299,83396.6328125
86,4349,75614.2890625
87,4399,83664.484375
88,4449,147794.984375
89,4499,62841.58203125
90,4549,64584.38671875
91,4599,67580.75
92,4649,51393.828125
93,4699,57437.28515625
94,4749,71773.71875
95,4799,70133.1953125
96,4849,66772.4140625
97,4899,69662.6796875
98,4949,75364.4375
99,4999,45825.953125
